etapa,carater,codigo_interno,denominacao,carga_horaria,departamento,lista_pre_requisitos,tipo_atividade_ensino,sumula,observacao
1,Obrigatória,INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,90,INA,,Disciplina,"Definição e solução de problemas, desenvolvimento de algoritmos e pensamento computacional. Fundamentos de programação imperativa: variáveis, tipos de dados, operadores, entrada e saída. Introdução a ambientes de programação e ao uso de ferramentas de desenvolvimento. Técnicas de depuração. Estruturas de controle de fluxo: sequência, seleção e iteração. Estruturas de dados básicas: arranjos, strings, matrizes e registros (tipos definidos pelo usuário). Geração e uso de números pseudo aleatórios. Princípios da programação estruturada: subprogramas, funções, ponteiros, passagem de parâmetros por valor e referência. Compilação e execução de programas na linha de comando. Boas práticas de programação. Modularização de programas em múltiplos arquivos. Manipulação básica de arquivos: arquivos binários e texto. Funções recursivas.",
1,Obrigatória,MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,90,MAT,,Disciplina,Estudo da reta e de curvas planas. Cálculo diferencial de uma variável real. Cálculo integral das funções de uma variável real.,
1,Obrigatória,FIS01181,FÍSICA I-C,90,FIS,,Disciplina,"Medidas físicas. Cinemática, estática e dinâmica do ponto e do corpo rígido. Gravitação.",
1,Obrigatória,ECP99002,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,30,COMGRAD-ECP,,Disciplina,A Engenharia de Computação na atualidade. O curso de Engenharia de Computação na UFRGS.,
1,Obrigatória,INF05508,LÓGICA PARA COMPUTAÇÃO,60,INT,,Disciplina,"Histórico da Lógica. Lógica Proposicional (sintaxe e semântica). Lógica de Predicados (sintaxe e semântica). Sistemas Dedutivos (dedução natural, árvores de refutação, consistência e completude). Aplicações de Lógica em Computação.",
2,Obrigatória,MAT01355,ÁLGEBRA LINEAR I - A,60,MAT,"[""MAT01353""]",Disciplina,Sistema de equações lineares. Matrizes. Fatoração LU. Vetores. Espaços vetoriais. Ortogonalidade. Valores próprios. Aplicações.,
2,Obrigatória,Arq,Arquitetura de Computadores,60,INA,"[""INF01202"", ""ECP99002""]",Disciplina,"Representação de dados: sistemas de numeração, aritmética binária e decimal, representação de caracteres. Noções básicas de arquitetura de computadores: organização básica da UCP; conjunto, formato, modos de endereçamento e armazenamento de instruções. Programação em linguagem de máquina e linguagem simbólica. Sub-rotinas: tipos, características e passagem de parâmetros. Interrupções e rotinas de tratamento.",
2,Obrigatória,MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,90,MAT,"[""MAT01353""]",Disciplina,Geometria analítica espacial. Derivadas parciais. Integrais múltiplas. Séries.,
2,Obrigatória,INF01203,Estruturas de Dados,60,INA,"[""INF01202""]",Disciplina,"Tipos abstratos de dados. Alocação dinâmica de memória. Listas, Pilhas e Filas. Algoritmos de ordenação. Árvores (Binárias, Balanceadas e de Busca), Strings. Hash. Estruturas de indexação e compressão.",
2,Obrigatória,FIS01182,FÍSICA GERAL - ELETROMAGNETISMO,90,FIS,"[""FIS01181"", ""MAT01353""]",Disciplina,Eletrostática. Eletrodinâmica. Magnetismo. Eletromagnetismo.,
2,Obrigatória,MAT01375,MATEMÁTICA DISCRETA B,60,MAT,,Disciplina,"Conjuntos, Relações e Funções. Indução Matemática. Teoria dos Números. Análise Combinatória. Recorrências.",
3,Obrigatória,INF01120,Desenvolvimento de Software,60,INA,"[""INF01203""]",Disciplina,"Projeto de Software: Fundamentos de design, arquitetura, padrões e introdução à linguagem de modelagem unificada (UML). Construção de Software: Boas práticas de codificação, frameworks, desenvolvimento guiado por testes (TDD), integração contínua e programação orientada a objetos (OOP). Qualidade e Testes: Métricas, code smells, testes unitários/integração/sistema/aceitação. Refatoração e Depuração: Técnicas de melhoria de código e resolução de defeitos. Manutenção e Ferramentas: Gestão de mudanças, versionamento e ambientes de desenvolvimento. Trabalho em Equipe: Colaboração e comunicação em projetos de grupo.",
3,Obrigatória,MAT01167,EQUAÇÕES DIFERENCIAIS II,90,MAT,"[""MAT01354"", ""MAT01355""]",Disciplina,"Equações diferenciais ordinárias e lineares. Elementos de séries de Fourier, polinômios de Legendre e funções de Bessel. Equações diferenciais lineares a derivadas parciais (problemas de contorno: equações da Física Clássica).",
3,Obrigatória,FIS01183,FÍSICA III-C,90,FIS,"[""FIS01182""]",Disciplina,Temperatura. Calor. Teoria cinética dos gases. Termodinâmica. Física ondulatória: ondas mecânicas e eletro-magnéticas. Reflexão e refração.,
